Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Thomas Müller,155.0,13398,0.067,22555829.23,6.87e-06,0.3646
Mikel Merino,153.0,5718,0.0286,22500524.66,6.8e-06,0.3636
André-Franck Zambo Anguissa,153.0,5791,0.029,22435503.37,6.82e-06,0.3633
Jarrod Bowen,155.0,12988,0.0649,22251539.88,6.97e-06,0.3633
Guglielmo Vicario,155.0,15457,0.0773,21022578.77,7.37e-06,0.3627
Granit Xhaka,152.0,5787,0.0289,22175911.53,6.85e-06,0.3624
Sergio Canales,155.0,4724,0.0236,22853302.29,6.78e-06,0.3603
Dani Olmo,155.0,11252,0.0563,22481958.76,6.89e-06,0.3589
Rafa,155.0,11382,0.0569,22604814.62,6.86e-06,0.3586
Mateo Kovacic,152.0,5797,0.029,22392961.88,6.79e-06,0.3585
Julian Brandt,154.0,11379,0.0569,22240794.45,6.92e-06,0.3584
Álex Moreno,151.0,12701,0.0635,22216518.38,6.8e-06,0.3578
Fikayo Tomori,152.0,10015,0.0501,22371742.39,6.79e-06,0.3578
Riyad Mahrez,155.0,11092,0.0555,22277767.76,6.96e-06,0.3576
Alejandro Balde,151.0,12898,0.0645,22363622.27,6.75e-06,0.3564
Teun Koopmeiners,153.0,7727,0.0386,22430050.47,6.82e-06,0.3562
Gavi,154.0,7784,0.0389,22291495.38,6.91e-06,0.356
Lucas Ocampos,154.0,13351,0.0668,22262002.85,6.92e-06,0.3552
Luis Alberto,153.0,4811,0.0241,22690085.22,6.74e-06,0.355
Yan Diomandé,154.0,11107,0.0555,22349329.25,6.89e-06,0.3547
Stanislav Lobotka,151.0,5873,0.0294,22329644.13,6.76e-06,0.3542
Miguel Gutiérrez,150.0,10823,0.0541,21811512.52,6.88e-06,0.3537
Dominik Szoboszlai,154.0,11369,0.0568,22408391.24,6.87e-06,0.353
Manuel Ugarte,152.0,5821,0.0291,22257687.68,6.83e-06,0.3527
Randal Kolo Muani,155.0,13302,0.0665,22287701.1,6.95e-06,0.3526
Kieran Tierney,152.0,14514,0.0726,21935786.14,6.93e-06,0.3525
Álvaro Morata,153.0,9108,0.0455,22452898.55,6.81e-06,0.351
Kostas Tsimikas,150.0,10623,0.0531,22250400.08,6.74e-06,0.3509
Fabián,151.0,7771,0.0389,22670441.38,6.66e-06,0.3504
Martín Zubimendi,150.0,5699,0.0285,22354974.56,6.71e-06,0.3499
Joe Gomez,151.0,19402,0.097,21723327.49,6.95e-06,0.3499
Marcos Llorente,152.0,18414,0.0921,21815955.25,6.97e-06,0.3498
Fredrik Aursnes,151.0,5808,0.029,22270144.63,6.78e-06,0.3493
Fred,150.0,5888,0.0294,22733186.14,6.6e-06,0.3492
Danilo,151.0,19509,0.0975,21789174.23,6.93e-06,0.3489
Leandro Trossard,154.0,13525,0.0676,22456561.92,6.86e-06,0.3485
João Félix,153.0,13530,0.0677,22233628.97,6.88e-06,0.3481
Gerard Moreno,154.0,12942,0.0647,22276464.23,6.91e-06,0.3477
Francesco Acerbi,152.0,10007,0.05,22399920.06,6.79e-06,0.3474
Mikel Oyarzábal,153.0,13409,0.067,22418823.18,6.82e-06,0.347
Bryan Cristante,151.0,5901,0.0295,22205219.45,6.8e-06,0.3469
Serhou Guirassy,152.0,9029,0.0451,22358622.22,6.8e-06,0.3467
Edson Álvarez,151.0,11603,0.058,22175385.68,6.81e-06,0.3465
Piotr Zielinski,152.0,4791,0.024,22542058.03,6.74e-06,0.3461
Denzel Dumfries,151.0,14471,0.0724,21792688.83,6.93e-06,0.3457
Christian Pulisic,153.0,11523,0.0576,22462639.94,6.81e-06,0.3455
Joelinton,153.0,7837,0.0392,22096975.88,6.92e-06,0.3452
Wesley Fofana,151.0,10045,0.0502,22344649.08,6.76e-06,0.3447
Marc Guéhi,151.0,10086,0.0504,22225857.62,6.79e-06,0.3446
Mateus Uribe,150.0,5821,0.0291,22550592.68,6.65e-06,0.3444
Julián Álvarez,153.0,13549,0.0677,22249022.07,6.88e-06,0.3442
Yan Couto,151.0,17420,0.0871,21807003.44,6.92e-06,0.3441
Rodrigo De Paul,153.0,10914,0.0546,22113982.04,6.92e-06,0.3441
Ansu Fati,153.0,13687,0.0684,22266311.1,6.87e-06,0.344
Sergio Ramos,151.0,10000,0.05,22143100.0,6.82e-06,0.3439
Lucas Torreira,150.0,5829,0.0291,22322010.64,6.72e-06,0.3436
Iago Aspas,153.0,13245,0.0662,22365420.91,6.84e-06,0.3435
Héctor Herrera,150.0,5898,0.0295,22625974.91,6.63e-06,0.343
Raphinha,154.0,10932,0.0547,22163282.11,6.95e-06,0.3428
John McGinn,153.0,11364,0.0568,22341517.07,6.85e-06,0.3418
Jérémy Doku,153.0,13242,0.0662,22266425.01,6.87e-06,0.3404
Cody Gakpo,153.0,13501,0.0675,22237982.37,6.88e-06,0.3404
Moussa Diaby,153.0,13563,0.0678,22292265.72,6.86e-06,0.3404
Kai Havertz,152.0,10291,0.0515,22452822.85,6.77e-06,0.3404
Ricardo Horta,153.0,13495,0.0675,22111078.18,6.92e-06,0.3403
Kalidou Koulibaly,150.0,10002,0.05,22482603.48,6.67e-06,0.3383
James Ward-Prowse,150.0,7762,0.0388,22271965.99,6.73e-06,0.3382
Unai Simón,153.0,15290,0.0765,20903139.31,7.32e-06,0.3377
Tijjani Reijnders,150.0,7731,0.0387,22683094.04,6.61e-06,0.3373
David Raya,152.0,15419,0.0771,21207730.72,7.17e-06,0.3372
Pablo Sarabia,152.0,11337,0.0567,22436623.45,6.77e-06,0.3369
Ivan Provedel,152.0,15442,0.0772,21192591.63,7.17e-06,0.3368
Conor Gallagher,149.0,7810,0.0391,22517669.65,6.62e-06,0.3366
Rúben Neves,150.0,5760,0.0288,22519444.44,6.66e-06,0.3363
Takehiro Tomiyasu,150.0,19210,0.096,21575481.52,6.95e-06,0.3361
Kurt Zouma,150.0,16885,0.0844,21753212.91,6.9e-06,0.336
Nicolás González,152.0,12988,0.0649,21996227.29,6.91e-06,0.3358
Fabinho,150.0,11475,0.0574,22336209.15,6.72e-06,0.3358
Ruben Loftus-Cheek,150.0,7807,0.039,22479953.89,6.67e-06,0.3355
Konrad Laimer,149.0,15778,0.0789,21746102.17,6.85e-06,0.3355
Joko Gvardiol,150.0,14213,0.0711,21889678.46,6.85e-06,0.3348
Alex Meret,152.0,15287,0.0764,21017073.33,7.23e-06,0.3346
Presnel Kimpembe,150.0,10070,0.0503,22426713.01,6.69e-06,0.3346
Pepê,150.0,17598,0.088,21718149.79,6.91e-06,0.3333
Jonathan Tah,149.0,16726,0.0836,21836183.19,6.82e-06,0.3332
Pascal Groß,149.0,7638,0.0382,22147028.02,6.73e-06,0.3328
Aymeric Laporte,150.0,10044,0.0502,22185483.87,6.76e-06,0.3315
Keylor Navas,151.0,15280,0.0764,21351832.46,7.07e-06,0.3296
Willi Orbán,149.0,9871,0.0494,22204437.24,6.71e-06,0.3294
Florian Wirtz,152.0,11374,0.0569,22302620.01,6.82e-06,0.3282
Thomas Lemar,148.0,13203,0.066,22242747.86,6.65e-06,0.3282
Manuel Locatelli,149.0,5851,0.0293,22376004.1,6.66e-06,0.328
Callum Wilson,151.0,8963,0.0448,22603927.26,6.68e-06,0.3278
Artem Dovbyk,150.0,9066,0.0453,22801345.69,6.58e-06,0.3267
Lucas Paquetá,150.0,9589,0.0479,22583063.93,6.64e-06,0.3265
Douglas Luiz,149.0,5760,0.0288,22403993.06,6.65e-06,0.3264
Morten Hjulmand,147.0,5852,0.0293,22213773.07,6.62e-06,0.3264
Nahuel Molina,149.0,14447,0.0722,21727209.8,6.86e-06,0.3258
Robin Le Normand,149.0,9821,0.0491,22347826.09,6.67e-06,0.3254
José Giménez,149.0,10060,0.0503,22239165.01,6.7e-06,0.3253
Trevoh Chalobah,148.0,17821,0.0891,21756018.18,6.8e-06,0.3236
Dani Vivian,148.0,11456,0.0573,22257070.53,6.65e-06,0.3227
Mattia Zaccagni,151.0,7849,0.0392,22662122.56,6.66e-06,0.3226
Jurriën Timber,148.0,19151,0.0958,21685864.97,6.82e-06,0.3225
Michael Olise,150.0,10642,0.0532,22359706.82,6.71e-06,0.3225
Marcel Sabitzer,148.0,7591,0.038,22866289.03,6.47e-06,0.322
Jordan Pickford,150.0,15334,0.0767,21227468.37,7.07e-06,0.3218
Warren Zaïre-Emery,148.0,5783,0.0289,22275635.48,6.64e-06,0.3215
Dani Ceballos,150.0,65924,0.3296,15770993.87,9.51e-06,0.3212
Youssef En-Nesyri,151.0,9014,0.0451,22499889.06,6.71e-06,0.3211
Dominic Calvert-Lewin,150.0,8999,0.045,22164684.96,6.77e-06,0.3208
Noussair Mazraoui,149.0,66193,0.331,15966597.68,9.33e-06,0.3208
Aleksandar Mitrovic,150.0,8972,0.0449,22563308.07,6.65e-06,0.3204
Gonçalo Ramos,150.0,9004,0.045,22451688.14,6.68e-06,0.319
Álex Remiro,150.0,15406,0.077,21005127.87,7.14e-06,0.3189
Exequiel Palacios,148.0,5717,0.0286,22170893.83,6.68e-06,0.3189
Memphis Depay,150.0,11521,0.0576,22194167.17,6.76e-06,0.3185
Matteo Politano,150.0,11110,0.0556,22203870.39,6.76e-06,0.3177
Yassine Bounou,150.0,15264,0.0763,21172300.84,7.08e-06,0.3172
Domenico Berardi,151.0,10376,0.0519,22563704.7,6.69e-06,0.3165
Brahim Díaz,150.0,10812,0.0541,22362005.18,6.71e-06,0.3164
Amir Rrahmani,148.0,9909,0.0495,22461903.32,6.59e-06,0.3164
Carlos Augusto,146.0,10951,0.0548,22045292.67,6.62e-06,0.316
Destiny Udogie,146.0,10783,0.0539,21848743.39,6.68e-06,0.3157
Pape Matar Sarr,148.0,5763,0.0288,22471282.32,6.59e-06,0.3155
Curtis Jones,149.0,7854,0.0393,22317927.17,6.68e-06,0.3154
