Name,Nation,Age,Club,Position,League
Federico Valverde,Uruguay,27,Real Madrid,"AMF, RW",First Division
Benjamin White,England,28,Arsenal,"CB, RB",Premier Division
Lucas Digne,France,32,PSG,LB,Ligue 1 Uber Eats
Justin Bijlow,Netherlands,28,Genoa,GK,Serie A
Thomas Müller,Germany,36,Vancouver,"AMF, RW, ST",MLS
Kostas Tsimikas,Greece,30,Liverpool,LB,Premier Division
Daichi Kamada,Japan,29,Crystal Palace,AMF,Premier Division
Granit Xhaka,Switzerland,33,Sunderland,CDM,Premier Division
Luka Modric,Croatia,40,AC Milan,AMF,Serie A
Andreas Christensen,Denmark,30,Barcelona,CB,First Division
Robert Andrich,Germany,31,Bayer Leverkusen,"CB, CDM",Bundesliga
Alessandro Bastoni,Italy,27,Inter,CB,Serie A
João Cancelo,Portugal,32,Al-Hilal,"RB, LB",Saudi Pro League
Victor Osimhen,Nigeria,27,Galatasaray,ST,Super League
Iñaki Williams,Ghana,32,Athletic Bilbao,"AMF, RW, LW, ST",First Division
Julián Álvarez,Argentina,26,Atletico Madrid,"AMF, RW, LW, ST",First Division
Federico Dimarco,Italy,28,Inter,"CB, LB, LM",Serie A
Joshua Zirkzee,Netherlands,25,Manchester United,ST,Premier Division
Talisca,Brazil,32,Fenerbahçe,"AMF, RW, ST",Super League
Ludovic Blas,France,28,Rennes,"AMF, RW",Ligue 1 Uber Eats
Benjamin Henrichs,Germany,29,RB Leipzig,"RB, LB",Bundesliga
Gonçalo Ramos,Portugal,25,AC Milan,ST,Serie A
Jonathan Tah,Germany,30,Bayern Munich,"CB, RB",Bundesliga
José Giménez,Uruguay,31,Atletico Madrid,CB,First Division
Willi Orbán,Hungary,33,RB Leipzig,CB,Bundesliga
Antony,Brazil,26,Real Betis,RW,First Division
Ousmane Diomande,Ivory Coast,22,Nottingham Forest,CB,Premier Division
Iago Aspas,Spain,38,Celta Vigo,"AMF, RW, ST",First Division
Alexandr Golovin,Russia,30,AS Monaco,"AMF, LW",Ligue 1 Uber Eats
Viktor Gyökeres,Sweden,28,Arsenal,ST,Premier Division
Pau Torres,Spain,29,Aston Villa,CB,Premier Division
Danny Welbeck,England,35,Chelsea,"RW, LW, ST",Premier Division
Lautaro Martínez,Argentina,28,Inter,ST,Serie A
Denis Zakaria,Switzerland,29,AS Monaco,CDM,Ligue 1 Uber Eats
Pedro Porro,Spain,26,Tottenham,"RB, RM",Premier Division
Rúben Neves,Portugal,29,Al-Hilal,CDM,Saudi Pro League
Kevin Danso,Austria,27,Tottenham,CB,Premier Division
Giovanni Di Lorenzo,Italy,32,Napoli,RB,Serie A
Sebastián Coates,Uruguay,35,Nacional,CB,First Division
João Pedro,Brazil,24,Chelsea,"AMF, RW, LW, ST",Premier Division
Douglas Luiz,Brazil,28,Juventus,CDM,Serie A
Brice Samba,France,32,Rennes,GK,Ligue 1 Uber Eats
Tyler Adams,U.S.A.,27,Bournemouth,"RB, CDM",Premier Division
Marcão,Brazil,30,Sevilla,CB,First Division
Charles De Ketelaere,Belgium,25,Atalanta,"AMF, ST",Serie A
Reece James,England,26,Chelsea,"CB, RB",Premier Division
Youri Tielemans,Belgium,29,Manchester United,"CDM, AMF",Premier Division
Jonas Hofmann,Germany,33,Bayer Leverkusen,"AMF, RW",Bundesliga
Lucas Torreira,Uruguay,30,Galatasaray,CDM,Super League
N'Golo Kanté,France,35,Fenerbahçe,CDM,Super League
Pascal Groß,Germany,35,Brighton,"CDM, AMF",Premier Division
Ansu Fati,Spain,23,AS Monaco,"AMF, RW, LW, ST",Ligue 1 Uber Eats
Mario Götze,Germany,34,Eintracht Frankfurt,AMF,Bundesliga
Ismaël Bennacer,Algeria,28,Free Agent,CDM,-
James Maddison,England,29,Tottenham,"AMF, RW, LW",Premier Division
Nathan Aké,Netherlands,31,Fenerbahçe,"CB, LB, CDM",Super League
Renato Sanches,Portugal,28,PSG,"CDM, AMF",Ligue 1 Uber Eats
Nicolò Barella,Italy,29,Inter,CM,Serie A
Heung-Min Son,South Korea,34,LAFC,"LW, ST",MLS
Nahuel Molina,Argentina,28,AS Roma,"RB, RM",Serie A
Michael Olise,France,24,Bayern Munich,"AMF, RW",Bundesliga
Edson Álvarez,Mexico,28,West Ham United,"CB, CDM",Sky Bet Championship
Hakan Çalhanoglu,Türkiye,32,Inter,"CDM, AMF",Serie A
Marc Cucurella,Spain,27,Real Madrid,"CB, LB, LM",First Division
Alfred Duncan,Ghana,33,Venezia,CDM,Serie A
Yassine Bounou,Morocco,35,Al-Hilal,GK,Saudi Pro League
Manuel Akanji,Switzerland,30,Inter,"CB, RB",Serie A
Evanilson,Brazil,26,Bournemouth,ST,Premier Division
Fábio Vieira,Portugal,26,Arsenal,"AMF, RW, LW",Premier Division
Odilon Kossounou,Ivory Coast,25,Atalanta,"CB, RB",Serie A
Matteo Politano,Italy,32,Napoli,"RW, LW",Serie A
Callum Hudson-Odoi,England,25,Nottingham Forest,"AMF, RW, LW",Premier Division
Leonardo Spinazzola,Italy,33,Napoli,"LB, LM",Serie A
Lionel Messi,Argentina,39,Inter Miami,"AMF, RW, ST",MLS
Gerard Moreno,Spain,34,Villarreal,"RW, ST",First Division
Malick Thiaw,Germany,24,Newcastle United,CB,Premier Division
Jonathan Clauss,France,33,OGC Nice,"RB, RM",Ligue 1 Uber Eats
Thibaut Courtois,Belgium,34,Real Madrid,GK,First Division
Fabinho,Brazil,32,Free Agent,"CB, CDM",-
Neymar,Brazil,34,SAN,"AMF, LW, ST",Second Division
Adam Maruic,Montenegro,33,Lazio,"RB, LB",Serie A
Cristiano Ronaldo,Portugal,41,Al-Nassr,ST,Saudi Pro League
Matthijs de Ligt,Netherlands,26,Manchester United,CB,Premier Division
Eduardo Camavinga,France,23,Real Madrid,"LB, CDM",First Division
Kylian Mbappé,France,27,Real Madrid,"RW, LW, ST",First Division
Martín Zubimendi,Spain,27,Arsenal,CDM,Premier Division
Takehiro Tomiyasu,Japan,27,Crystal Palace,"CB, RB, LB",Premier Division
Ben Chilwell,England,29,Strasbourg,LB,Ligue 1 Uber Eats
Cheick Doucouré,Mali,26,Crystal Palace,CDM,Premier Division
Edmond Tapsoba,Burkina Faso,27,Bayer Leverkusen,CB,Bundesliga
Igor Zubeldia,Spain,29,Real Sociedad,"CB, CDM",First Division
Ivan Toney,England,30,Al-Ahli,ST,Saudi Pro League
Lutsharel Geertruida,Netherlands,25,RB Leipzig,"CB, RB, CDM",Bundesliga
Lewis Ferguson,Scotland,26,Bologna,"CDM, AMF",Serie A
Micky van de Ven,Netherlands,25,Tottenham,"CB, LB",Premier Division
Christian Nørgaard,Denmark,32,Everton,CDM,Premier Division
Pierre Kalulu,France,26,Juventus,"CB, RB",Serie A
Ivan Ilic,Serbia,25,Torino,"CDM, AMF",Serie A
Bruno Fernandes,Portugal,31,Manchester United,"AMF, RW",Premier Division
Rico Lewis,England,21,Manchester City,"RB, CDM",Premier Division
Callum Wilson,England,34,Brentford,ST,Premier Division
Borja Iglesias,Spain,33,Celta Vigo,ST,First Division
Myles Lewis-Skelly,England,19,Arsenal,"LB, CDM",Premier Division
Fabian Schär,Switzerland,34,Newcastle United,CB,Premier Division
Jesper Karlsson,Sweden,27,Bologna,"RW, LW, ST",Serie A
Bryan Cristante,Italy,31,AS Roma,CDM,Serie A
Gianluca Mancini,Italy,30,AS Roma,CB,Serie A
Deniz Undav,Germany,29,VfB Stuttgart,"AMF, ST",Bundesliga
Kaoru Mitoma,Japan,29,Brighton,LW,Premier Division
Joko Gvardiol,Croatia,24,Manchester City,"CB, LB",Premier Division
Federico Bernardeschi,Italy,32,Bologna,"RB, LB, RW, LW",Serie A
Leon Goretzka,Germany,31,Free Agent,"CDM, AMF",-
Ronald Araujo,Uruguay,27,Liverpool,"CB, RB",Premier Division
Reinildo,Mozambique,32,Sunderland,"CB, LB",Premier Division
Jacob Ramsey,England,25,Newcastle United,"AMF, LW",Premier Division
Kyle Walker,England,36,Burnley,RB,Sky Bet Championship
Felix Nmecha,Germany,25,Borussia Dortmund,"CDM, AMF",Bundesliga
Jérémy Doku,Belgium,24,Manchester City,"RW, LW, ST",Premier Division
Brahim Díaz,Morocco,26,Real Madrid,"AMF, RW",First Division
Ðorde Petrovic,Serbia,26,Bournemouth,GK,Premier Division
Marc-André ter Stegen,Germany,34,Ajax,GK,Eredivisie
Dani Carvajal,Spain,34,Free Agent,RB,-
José Gayà,Spain,31,Valencia,"LB, LW",First Division
Yan Couto,Brazil,24,Como,"RB, RW",Serie A
Julian Ryerson,Norway,28,Borussia Dortmund,"RB, LB",Bundesliga
Destiny Udogie,Italy,23,Tottenham,LB,Premier Division
Mats Hummels,Germany,37,Free Agent,CB,-
Dejan Kulusevski,Sweden,26,Tottenham,"AMF, RW",Premier Division
Dan Burn,England,34,Newcastle United,"CB, LB",Premier Division
Oihan Sancet,Spain,26,Athletic Bilbao,AMF,First Division
Virgil van Dijk,Netherlands,35,Liverpool,CB,Premier Division
Duan Vlahovic,Serbia,26,Beşiktaş,ST,Super League
Jude Bellingham,England,23,Real Madrid,"CDM, AMF",First Division
Marco Asensio,Spain,30,Fenerbahçe,"AMF, RW, LW",Super League
Sandro Tonali,Italy,26,Tottenham,CDM,Premier Division
Santiago Giménez,Mexico,25,AC Milan,ST,Serie A
Marco Verratti,Italy,33,Al-Duhail,CDM,Stars League
Kim Min-Jae,South Korea,29,Bayern Munich,CB,Bundesliga
John McGinn,Scotland,31,Aston Villa,"AMF, RW, LW",Premier Division
