Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Ademola Lookman,150.0,6773,0.0677,22417392.59,6.69e-06
Alejandro Garnacho,144.0,5533,0.0553,22417314.3,6.42e-06
Jack Grealish,164.0,5566,0.0557,22415199.43,7.32e-06
Moise Kean,140.0,6558,0.0656,22414913.08,6.25e-06
Willi Orbán,149.0,4874,0.0487,22412597.46,6.65e-06
Harry Kane,184.0,5140,0.0514,22412062.26,8.21e-06
Lucas Digne,141.0,5328,0.0533,22411223.72,6.29e-06
Nemanja Matic,144.0,2973,0.0297,22411032.63,6.43e-06
Mikel Merino,153.0,2884,0.0288,22410194.17,6.83e-06
Duván Zapata,140.0,4512,0.0451,22408687.94,6.25e-06
Mason Mount,156.0,5779,0.0578,22407509.95,6.96e-06
John McGinn,153.0,5639,0.0564,22406809.72,6.83e-06
Eddie Nketiah,148.0,6730,0.0673,22404011.89,6.61e-06
Carles Pérez,143.0,5814,0.0581,22401616.79,6.38e-06
Reinildo,146.0,7278,0.0728,22397087.11,6.52e-06
Thomas Lemar,148.0,6648,0.0665,22392749.7,6.61e-06
Yan Diomandé,154.0,5638,0.0564,22392160.34,6.88e-06
Borja Iglesias,144.0,4507,0.0451,22390947.42,6.43e-06
Kevin Kampl,144.0,2920,0.0292,22385273.97,6.43e-06
Alexandr Golovin,149.0,4060,0.0406,22384975.37,6.66e-06
Sadio Mané,150.0,6762,0.0676,22384501.63,6.7e-06
Pau Torres,156.0,4995,0.05,22383383.38,6.97e-06
Pedro Gonçalves,150.0,5861,0.0586,22383381.68,6.7e-06
Bukayo Saka,174.0,5556,0.0556,22379409.65,7.78e-06
Dominic Calvert-Lewin,150.0,4541,0.0454,22378771.2,6.7e-06
Vitinha,156.0,2949,0.0295,22377755.17,6.97e-06
Marcus Rashford,160.0,5519,0.0552,22373799.6,7.15e-06
Curtis Jones,149.0,3913,0.0391,22372093.02,6.66e-06
Thomas Müller,155.0,6705,0.067,22371662.94,6.93e-06
Lionel Messi,185.0,6761,0.0676,22371542.67,8.27e-06
Sebastian Szymanski,140.0,5668,0.0567,22369795.34,6.26e-06
Robert Lewandowski,178.0,4517,0.0452,22369271.64,7.96e-06
Thiago Silva,156.0,5048,0.0505,22367670.36,6.97e-06
Donyell Malen,145.0,6724,0.0672,22367192.15,6.48e-06
Bradley Barcola,143.0,6742,0.0674,22365766.83,6.39e-06
Bryan Cristante,151.0,2953,0.0295,22364713.85,6.75e-06
Harry Maguire,145.0,4977,0.0498,22364275.67,6.48e-06
Philipp Lienhart,140.0,5013,0.0501,22362856.57,6.26e-06
Kang-In Lee,144.0,5678,0.0568,22361042.62,6.44e-06
Federico Valverde,168.0,5369,0.0537,22360961.07,7.51e-06
Nayef Aguerd,140.0,5065,0.0507,22360908.19,6.26e-06
Matheus Cunha,144.0,6687,0.0669,22360101.69,6.44e-06
Matheus Nunes,149.0,5411,0.0541,22359637.77,6.66e-06
Eduardo Camavinga,170.0,6269,0.0627,22358270.86,7.6e-06
Joelinton,153.0,3936,0.0394,22357723.58,6.84e-06
Antony,141.0,5198,0.052,22356868.03,6.31e-06
Mikel Oyarzábal,153.0,6704,0.067,22356503.58,6.84e-06
Neymar,175.0,5854,0.0585,22355654.25,7.83e-06
Rodrigo Bentancur,156.0,2881,0.0288,22351614.02,6.98e-06
Sebastián Coates,154.0,5064,0.0506,22350118.48,6.89e-06
Youri Tielemans,147.0,3839,0.0384,22349570.2,6.58e-06
Robin Gosens,142.0,5547,0.0555,22347575.27,6.35e-06
Lewis Ferguson,146.0,3801,0.038,22347013.94,6.53e-06
Aleksandar Mitrovic,150.0,4436,0.0444,22346483.32,6.71e-06
Andrea Colpani,140.0,2383,0.0238,22343684.43,6.27e-06
Emiliano Buendía,143.0,5496,0.055,22343340.61,6.4e-06
Noa Lang,145.0,5492,0.0549,22342498.18,6.49e-06
Marco Asensio,159.0,5659,0.0566,22341049.66,7.12e-06
Victor Boniface,145.0,4520,0.0452,22340486.73,6.49e-06
José Gayà,157.0,6321,0.0632,22339503.24,7.03e-06
Mauro Icardi,155.0,4475,0.0447,22338770.95,6.94e-06
Ruben Loftus-Cheek,150.0,3974,0.0397,22338449.92,6.71e-06
António Silva,143.0,5131,0.0513,22336581.56,6.4e-06
Dominik Szoboszlai,154.0,5614,0.0561,22336302.1,6.89e-06
Teun Koopmeiners,153.0,3785,0.0379,22334478.2,6.85e-06
Nuno Mendes,152.0,5490,0.0549,22334061.93,6.81e-06
Mouctar Diakhaby,142.0,5737,0.0574,22333449.54,6.36e-06
Takumi Minamino,140.0,3967,0.0397,22332745.15,6.27e-06
Manuel Locatelli,149.0,3001,0.03,22331222.93,6.67e-06
Julian Brandt,154.0,5724,0.0572,22330712.79,6.9e-06
Ryan Gravenberch,141.0,3948,0.0395,22330547.11,6.31e-06
Duan Vlahovic,156.0,4580,0.0458,22329912.66,6.99e-06
Igor Zubeldia,143.0,5715,0.0571,22327209.1,6.4e-06
Luis Díaz,162.0,5496,0.055,22326419.21,7.26e-06
Eric García,144.0,5032,0.0503,22322535.77,6.45e-06
Romelu Lukaku,157.0,4570,0.0457,22321444.2,7.03e-06
Lisandro Martínez,155.0,7033,0.0703,22315939.14,6.95e-06
Íñigo Ruiz de Galarreta,140.0,2899,0.029,22314246.29,6.27e-06
Michael Olise,150.0,5323,0.0532,22309224.12,6.72e-06
Luiz Felipe,140.0,5046,0.0505,22306381.29,6.28e-06
