Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price,Win Rate
Pierre Kalulu,142.0,14378,0.1438,41423841.98,3.43e-06,0.1451
Ferdi Kadioglu,140.0,14877,0.1488,40848692.61,3.43e-06,0.1451
Yuri,140.0,9062,0.0906,46411498.57,3.02e-06,0.1444
Nordi Mukiele,142.0,14347,0.1435,41442880.04,3.43e-06,0.1444
Kang-In Lee,144.0,9652,0.0965,49315893.08,2.92e-06,0.1439
Séko Fofana,140.0,4886,0.0489,53408514.12,2.62e-06,0.1439
Myles Lewis-Skelly,141.0,10448,0.1045,45457025.27,3.1e-06,0.1438
Edin Deko,145.0,7543,0.0754,49971894.47,2.9e-06,0.1436
Rodrigo Riquelme,141.0,13005,0.1301,44620761.25,3.16e-06,0.1433
Marc Roca,141.0,4884,0.0488,53222153.97,2.65e-06,0.1433
Matheus Cunha,144.0,11139,0.1114,46543226.5,3.09e-06,0.1431
Davide Zappacosta,140.0,14849,0.1485,39845040.07,3.51e-06,0.143
Leon Bailey,145.0,9251,0.0925,49616581.99,2.92e-06,0.143
Ross Barkley,141.0,6459,0.0646,52432265.06,2.69e-06,0.1423
Ousmane Diomande,142.0,8447,0.0845,48986740.85,2.9e-06,0.1422
Alfred Duncan,140.0,4715,0.0472,54799363.73,2.55e-06,0.1421
Victor Boniface,145.0,7520,0.0752,50732446.81,2.86e-06,0.1416
Valentin Rongier,141.0,4873,0.0487,54824953.83,2.57e-06,0.1416
Matías Vecino,140.0,4841,0.0484,54280933.69,2.58e-06,0.1415
Ben Davies,140.0,12096,0.121,44741236.77,3.13e-06,0.1412
Bryan Mbeumo,144.0,11136,0.1114,46537266.52,3.09e-06,0.1395
João Pedro,144.0,11166,0.1117,47833064.66,3.01e-06,0.1394
Tino Livramento,140.0,14898,0.149,40299838.9,3.47e-06,0.1392
Levi Colwill,141.0,11871,0.1187,44418920.06,3.17e-06,0.139
Ryan Gravenberch,141.0,6455,0.0646,53498218.44,2.64e-06,0.139
Edon Zhegrova,143.0,9655,0.0966,49385189.02,2.9e-06,0.1387
Andrej Kramaric,143.0,8451,0.0845,49425985.09,2.89e-06,0.1383
Facundo Medina,141.0,8337,0.0834,48858942.07,2.89e-06,0.1382
Mathias Jensen,142.0,54751,0.5475,19930558.35,7.12e-06,0.1378
Brennan Johnson,143.0,11379,0.1138,47177432.11,3.03e-06,0.1377
Tammy Abraham,143.0,7583,0.0758,50055518.92,2.86e-06,0.1375
Bradley Barcola,143.0,11001,0.11,47850013.64,2.99e-06,0.1374
Gianluca Scamacca,143.0,7367,0.0737,49047373.42,2.92e-06,0.1372
Luiz Felipe,140.0,8418,0.0842,48722974.58,2.87e-06,0.1372
Jorge Cuenca,141.0,8355,0.0836,49692639.14,2.84e-06,0.1372
Borja Iglesias,144.0,7543,0.0754,49681824.21,2.9e-06,0.1369
Eljif Elmas,142.0,6550,0.0655,52527938.93,2.7e-06,0.1368
Philipp Lienhart,140.0,8262,0.0826,49892398.93,2.81e-06,0.1368
Felix Nmecha,140.0,6316,0.0632,51719442.69,2.71e-06,0.1365
Odilon Kossounou,140.0,14069,0.1407,41049115.08,3.41e-06,0.1361
Emiliano Buendía,143.0,8987,0.0899,49612551.46,2.88e-06,0.136
Kenny Tete,140.0,12053,0.1205,41867833.73,3.34e-06,0.1359
Álex Baena,143.0,9514,0.0951,48507147.36,2.95e-06,0.1358
Sacha Boey,140.0,12153,0.1215,41218793.71,3.4e-06,0.1356
Arnaut Danjuma,143.0,9075,0.0908,49162644.63,2.91e-06,0.1355
Alexander Sørloth,143.0,7642,0.0764,49509683.33,2.89e-06,0.1354
Lazar Samardic,144.0,3988,0.0399,56348294.88,2.56e-06,0.1352
Deniz Undav,142.0,8652,0.0865,49744683.31,2.85e-06,0.1351
Florentino Luís,140.0,4782,0.0478,53789418.65,2.6e-06,0.1351
James Tarkowski,140.0,8441,0.0844,49772538.8,2.81e-06,0.1348
Renato Sanches,140.0,6413,0.0641,54080773.43,2.59e-06,0.1346
Carles Pérez,143.0,9515,0.0952,49012821.86,2.92e-06,0.1345
Justin Bijlow,143.0,12714,0.1271,38609092.34,3.7e-06,0.134
Diego Llorente,140.0,8226,0.0823,49642475.08,2.82e-06,0.1338
Lucas Perri,142.0,12952,0.1295,38161210.62,3.72e-06,0.1336
Nayef Aguerd,140.0,8395,0.084,49179749.85,2.85e-06,0.1335
Federico Bernardeschi,140.0,16658,0.1666,39892003.84,3.51e-06,0.1333
Ivan Ilic,140.0,6387,0.0639,53290590.26,2.63e-06,0.1329
Brice Samba,142.0,12648,0.1265,38244228.34,3.71e-06,0.1329
Kristoffer Ajer,140.0,9626,0.0963,48458030.33,2.89e-06,0.1323
Alexis Saelemaekers,140.0,14598,0.146,42165159.61,3.32e-06,0.1319
Dan Burn,140.0,12234,0.1223,44739169.53,3.13e-06,0.1318
Robert Sánchez,142.0,12778,0.1278,38775160.43,3.66e-06,0.1314
Mario Götze,142.0,3916,0.0392,56456588.36,2.52e-06,0.1313
Vincenzo Grifo,142.0,6718,0.0672,53989729.09,2.63e-06,0.131
Robert Andrich,140.0,9607,0.0961,48561049.23,2.88e-06,0.1309
Javi Guerra,140.0,10140,0.1014,49476134.12,2.83e-06,0.1301
Yeremy Pino,142.0,11371,0.1137,46687450.53,3.04e-06,0.1296
Umar Sadiq,142.0,7553,0.0755,50229312.86,2.83e-06,0.1288
David Soria,142.0,12791,0.1279,37202329.76,3.82e-06,0.1287
Terem Moffi,141.0,7524,0.0752,48940058.48,2.88e-06,0.1287
Dominic Solanke,141.0,7511,0.0751,49173878.31,2.87e-06,0.1277
Andrea Colpani,140.0,3958,0.0396,55870894.39,2.51e-06,0.1276
Alejandro Catena,140.0,8357,0.0836,49252004.31,2.84e-06,0.1276
Kepa Arrizabalaga,141.0,12594,0.1259,38711052.88,3.64e-06,0.1275
Ayoze Pérez,142.0,11380,0.1138,47518892.79,2.99e-06,0.1272
Giovani Lo Celso,140.0,8261,0.0826,51804139.93,2.7e-06,0.1269
Nikola Vlaic,141.0,9522,0.0952,49179374.08,2.87e-06,0.1267
Jacob Ramsey,141.0,6608,0.0661,52782687.65,2.67e-06,0.1265
