Name,Ability,Times Acquired,Acquisition Rate,Avg Price,Ability Per Price
Matheus Cunha,144.0,3291,0.0329,152766940.14,9.4e-07
Wataru Endo,143.0,2131,0.0213,152764899.11,9.4e-07
Bryan Mbeumo,144.0,3189,0.0319,152747256.19,9.4e-07
João Pedro,144.0,3269,0.0327,152628326.71,9.4e-07
Jonathan David,144.0,3235,0.0323,152624729.52,9.4e-07
Igor Zubeldia,143.0,3149,0.0315,152573197.84,9.4e-07
Billy Gilmour,143.0,2203,0.022,152503858.37,9.4e-07
Álvaro García,143.0,2361,0.0236,152502329.52,9.4e-07
Yangel Herrera,143.0,2139,0.0214,152462365.59,9.4e-07
Khephren Thuram,143.0,2198,0.022,152374886.26,9.4e-07
Rico Lewis,144.0,3151,0.0315,152355125.36,9.5e-07
Alessandro Buongiorno,143.0,2893,0.0289,152334946.42,9.4e-07
Ellyes Skhiri,143.0,2100,0.021,152331904.76,9.4e-07
Kang-In Lee,144.0,3102,0.031,152321083.17,9.5e-07
Justin Bijlow,143.0,2808,0.0281,152315170.94,9.4e-07
Mario Götze,142.0,1992,0.0199,152130522.09,9.3e-07
Carles Pérez,143.0,3164,0.0316,152121365.36,9.4e-07
Alexander Sørloth,143.0,2673,0.0267,152107744.11,9.4e-07
Edon Zhegrova,143.0,3260,0.0326,152079447.85,9.4e-07
Evan N'Dicka,143.0,3219,0.0322,152069586.83,9.4e-07
Andrea Cambiaso,143.0,3244,0.0324,152044081.38,9.4e-07
Ramy Bensebaïni,143.0,3142,0.0314,151996499.05,9.4e-07
Arnaut Danjuma,143.0,3113,0.0311,151986186.96,9.4e-07
Matthias Ginter,143.0,3217,0.0322,151968604.29,9.4e-07
Lukas Klostermann,143.0,3208,0.0321,151865024.94,9.4e-07
David Raum,143.0,2703,0.027,151847206.81,9.4e-07
Julian Ryerson,143.0,3229,0.0323,151842366.06,9.4e-07
Andrej Kramaric,143.0,2974,0.0297,151724949.56,9.4e-07
Gianluca Scamacca,143.0,2735,0.0273,151717001.83,9.4e-07
Marcos Alonso,143.0,3203,0.032,151711520.45,9.4e-07
Bradley Barcola,143.0,3225,0.0323,151706356.59,9.4e-07
Eljif Elmas,142.0,2917,0.0292,151699005.83,9.4e-07
António Silva,143.0,2939,0.0294,151694453.9,9.4e-07
Brennan Johnson,143.0,3241,0.0324,151608145.63,9.4e-07
Álex Baena,143.0,3225,0.0323,151541085.27,9.4e-07
Robin Gosens,142.0,2768,0.0277,151516979.77,9.4e-07
Javi Galán,142.0,2633,0.0263,151491074.82,9.4e-07
Nicolò Fagioli,142.0,2658,0.0266,151465763.73,9.4e-07
Emiliano Buendía,143.0,3158,0.0316,151459151.36,9.4e-07
Brice Samba,142.0,2745,0.0274,151426958.11,9.4e-07
Lucas Perri,142.0,2694,0.0269,151425018.56,9.4e-07
David Soria,142.0,2817,0.0282,151370962.02,9.4e-07
João Mário,142.0,2928,0.0293,151355874.32,9.4e-07
Tyler Adams,142.0,3139,0.0314,151351385.79,9.4e-07
Mathías Olivera,142.0,2706,0.0271,151342941.61,9.4e-07
Ayoze Pérez,142.0,3244,0.0324,151176633.79,9.4e-07
Umar Sadiq,142.0,2651,0.0265,151165975.1,9.4e-07
Adam Maruic,142.0,3271,0.0327,151150718.43,9.4e-07
Denis Zakaria,142.0,2094,0.0209,151138968.48,9.4e-07
Samuel Chukwueze,142.0,3058,0.0306,151122302.16,9.4e-07
Leonardo Spinazzola,142.0,2658,0.0266,151082769.0,9.4e-07
Robert Sánchez,142.0,2787,0.0279,151082526.01,9.4e-07
Ousmane Diomande,142.0,2905,0.029,151070223.75,9.4e-07
Nordi Mukiele,142.0,3220,0.0322,150998447.2,9.4e-07
Vincenzo Grifo,142.0,2782,0.0278,150946081.96,9.4e-07
Dávid Hancko,142.0,3205,0.0321,150934165.37,9.4e-07
Patric,142.0,2900,0.029,150932068.97,9.4e-07
Yeremy Pino,142.0,3210,0.0321,150925233.64,9.4e-07
Deniz Undav,142.0,2934,0.0293,150897068.85,9.4e-07
Matteo Ruggeri,142.0,2666,0.0267,150885221.31,9.4e-07
Sead Kolainac,142.0,3179,0.0318,150780434.1,9.4e-07
Valentin Rongier,141.0,2133,0.0213,150777308.95,9.4e-07
Nicolò Rovella,141.0,2223,0.0222,150775078.72,9.4e-07
Pierre Kalulu,142.0,3321,0.0332,150758506.47,9.4e-07
Victor Lindelöf,142.0,2985,0.0299,150748408.71,9.4e-07
Mouctar Diakhaby,142.0,3067,0.0307,150744701.66,9.4e-07
Mario Paalic,141.0,1972,0.0197,150717038.54,9.4e-07
Terem Moffi,141.0,2678,0.0268,150701269.6,9.4e-07
Karim Adeyemi,142.0,3351,0.0335,150601909.88,9.4e-07
Ryan Gravenberch,141.0,2682,0.0268,150573452.65,9.4e-07
Marc Roca,141.0,2149,0.0215,150535132.62,9.4e-07
Lucas Digne,141.0,2709,0.0271,150464008.86,9.4e-07
Dominic Solanke,141.0,2628,0.0263,150294140.03,9.4e-07
Santiago Giménez,141.0,2719,0.0272,150283927.91,9.4e-07
Nikola Vlaic,141.0,3233,0.0323,150276214.04,9.4e-07
Ross Barkley,141.0,2700,0.027,150260740.74,9.4e-07
Gonçalo Guedes,141.0,3281,0.0328,150224626.64,9.4e-07
Kepa Arrizabalaga,141.0,2831,0.0283,150215471.56,9.4e-07
Facundo Medina,141.0,2923,0.0292,150168662.33,9.4e-07
Ðorde Petrovic,141.0,2758,0.0276,150140319.07,9.4e-07
Jérémie Boga,141.0,2786,0.0279,150135678.39,9.4e-07
Héctor Bellerín,141.0,2995,0.03,150114858.1,9.4e-07
Scott McTominay,141.0,2622,0.0262,150076277.65,9.4e-07
Jacob Ramsey,141.0,2757,0.0276,149994559.3,9.4e-07
Sávio,141.0,3009,0.0301,149842804.92,9.4e-07
Cristiano Biraghi,141.0,2716,0.0272,149791237.11,9.4e-07
Jorge Cuenca,141.0,2898,0.029,149752587.99,9.4e-07
Levi Colwill,141.0,3153,0.0315,149717411.99,9.4e-07
Myles Lewis-Skelly,141.0,3075,0.0307,149654634.15,9.4e-07
Rodrigo Riquelme,141.0,3289,0.0329,149613560.35,9.4e-07
Antony,141.0,2997,0.03,149576576.58,9.4e-07
Weston McKennie,146.0,88927,0.8893,146332576.16,1e-06
Joe Willock,145.0,99567,0.9957,145287344.2,1e-06
Andrea Colpani,140.0,8239,0.0824,142417526.4,9.8e-07
Mathias Jensen,142.0,99922,0.9992,142282560.4,1e-06
Daichi Kamada,140.0,8166,0.0817,142268430.08,9.8e-07
Matías Vecino,140.0,10389,0.1039,142117239.39,9.9e-07
Séko Fofana,140.0,10411,0.1041,142108154.84,9.9e-07
Íñigo Ruiz de Galarreta,140.0,10380,0.1038,142052119.46,9.9e-07
Alfred Duncan,140.0,10242,0.1024,142038469.05,9.9e-07
Florentino Luís,140.0,10495,0.105,141980562.17,9.9e-07
Santi Comesaña,140.0,10434,0.1043,141902913.55,9.9e-07
